year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
1976,ARIZONA,AZ,4,86.0,61,US SENATE,statewide,gen,False,ALLAN NORWITZ,LIBERTARIAN,False,total,7310.0,741210.0,False,20210114,LIBERTARIAN
1976,ARIZONA,AZ,4,86.0,61,US SENATE,statewide,gen,False,BOB FIELD,INDEPENDENT,False,total,10765.0,741210.0,False,20210114,OTHER
1976,ARIZONA,AZ,4,86.0,61,US SENATE,statewide,gen,False,DENNIS DECONCINI,DEMOCRAT,False,total,400334.0,741210.0,False,20210114,DEMOCRAT
1976,ARIZONA,AZ,4,86.0,61,US SENATE,statewide,gen,False,SAM STEIGER,REPUBLICAN,False,total,321236.0,741210.0,False,20210114,REPUBLICAN
1976,ARIZONA,AZ,4,86.0,61,US SENATE,statewide,gen,False,WM. MATHEWS FEIGHAN,INDEPENDENT,False,total,1565.0,741210.0,False,20210114,OTHER
1976,CALIFORNIA,CA,6,93.0,71,US SENATE,statewide,gen,False,DAVID WALD,PEACE AND FREEDOM,False,total,104383.0,7470586.0,False,20210114,OTHER
1976,CALIFORNIA,CA,6,93.0,71,US SENATE,statewide,gen,False,JACK MCCOY,AMERICAN INDEPENDENT,False,total,82739.0,7470586.0,False,20210114,OTHER
1976,CALIFORNIA,CA,6,93.0,71,US SENATE,statewide,gen,False,JOHN V. TUNNEY,DEMOCRAT,False,total,3502862.0,7470586.0,False,20210114,DEMOCRAT
1976,CALIFORNIA,CA,6,93.0,71,US SENATE,statewide,gen,False,OMARI MUSA,INDEPENDENT,False,total,31629.0,7470586.0,False,20210114,OTHER
1976,CALIFORNIA,CA,6,93.0,71,US SENATE,statewide,gen,False,S. I. (SAM) HAYAKAWA,REPUBLICAN,False,total,3748973.0,7470586.0,False,20210114,REPUBLICAN
1976,CONNECTICUT,CT,9,16.0,1,US SENATE,statewide,gen,False,GLORIA SCHAFFER,DEMOCRAT,False,total,561018.0,1361666.0,False,20210114,DEMOCRAT
1976,CONNECTICUT,CT,9,16.0,1,US SENATE,statewide,gen,False,"LOWELL P. WEICKER, JR.",REPUBLICAN,False,total,785683.0,1361666.0,False,20210114,REPUBLICAN
1976,CONNECTICUT,CT,9,16.0,1,US SENATE,statewide,gen,False,ROBERT BARNABEI,AMERICAN INDEPENDENT,False,total,14407.0,1361666.0,False,20210114,OTHER
1976,CONNECTICUT,CT,9,16.0,1,US SENATE,statewide,gen,False,SCATTER,,False,total,558.0,1361666.0,False,20210114,OTHER
1976,DELAWARE,DE,10,51.0,11,US SENATE,statewide,gen,False,DONALD G. GIES,AMERICAN,False,total,646.0,224795.0,False,20210114,OTHER
1976,DELAWARE,DE,10,51.0,11,US SENATE,statewide,gen,False,JOHN A. MASSIMILLA,PROHIBITION,False,total,216.0,224795.0,False,20210114,OTHER
1976,DELAWARE,DE,10,51.0,11,US SENATE,statewide,gen,False,JOSEPH F. MCINERNEY,NONE,False,total,437.0,224795.0,False,20210114,OTHER
1976,DELAWARE,DE,10,51.0,11,US SENATE,statewide,gen,False,THOMAS C. MALONEY,DEMOCRAT,False,total,98042.0,224795.0,False,20210114,DEMOCRAT
1976,DELAWARE,DE,10,51.0,11,US SENATE,statewide,gen,False,"WILLIAM V. ROTH, JR.",REPUBLICAN,False,total,125454.0,224795.0,False,20210114,REPUBLICAN
1976,FLORIDA,FL,12,59.0,43,US SENATE,statewide,gen,False,JOHN GRADY,REPUBLICAN,False,total,1057886.0,2857534.0,False,20210114,REPUBLICAN
1976,FLORIDA,FL,12,59.0,43,US SENATE,statewide,gen,False,LAWTON CHILES,DEMOCRAT,False,total,1799518.0,2857534.0,False,20210114,DEMOCRAT
1976,FLORIDA,FL,12,59.0,43,US SENATE,statewide,gen,False,SCATTER,,False,total,130.0,2857534.0,False,20210114,OTHER
1976,HAWAII,HI,15,95.0,82,US SENATE,statewide,gen,False,ANTHONY N. HODGES,PROHIBITION,False,total,14226.0,302092.0,False,20210114,OTHER
1976,HAWAII,HI,15,95.0,82,US SENATE,statewide,gen,False,JAMES D. KIMMEL,INDEPENDENT,False,total,1433.0,302092.0,False,20210114,OTHER
1976,HAWAII,HI,15,95.0,82,US SENATE,statewide,gen,False,ROCKNE JOHNSON,LIBERTARIAN,False,total,1404.0,302092.0,False,20210114,LIBERTARIAN
1976,HAWAII,HI,15,95.0,82,US SENATE,statewide,gen,False,SPARK M. MATSUNAGA,DEMOCRAT,False,total,162305.0,302092.0,False,20210114,DEMOCRAT
1976,HAWAII,HI,15,95.0,82,US SENATE,statewide,gen,False,WILLIAM QUINN,REPUBLICAN,False,total,122724.0,302092.0,False,20210114,REPUBLICAN
1976,INDIANA,IN,18,32.0,22,US SENATE,statewide,gen,False,DAVID LEE HOAGLAND,U.S. LABOR,False,total,2511.0,2161187.0,False,20210114,OTHER
1976,INDIANA,IN,18,32.0,22,US SENATE,statewide,gen,False,DON L. LEE,INDEPENDENT,False,total,14321.0,2161187.0,False,20210114,OTHER
1976,INDIANA,IN,18,32.0,22,US SENATE,statewide,gen,False,RICHARD G. LUGAR,REPUBLICAN,False,total,1275833.0,2161187.0,False,20210114,REPUBLICAN
1976,INDIANA,IN,18,32.0,22,US SENATE,statewide,gen,False,VANCE HARTKE,DEMOCRAT,False,total,868522.0,2161187.0,False,20210114,DEMOCRAT
1976,MAINE,ME,23,11.0,2,US SENATE,statewide,gen,False,EDMUND S. MUSKIE,DEMOCRAT,False,total,292704.0,486193.0,False,20210114,DEMOCRAT
1976,MAINE,ME,23,11.0,2,US SENATE,statewide,gen,False,ROBERT A. G. MONKS,REPUBLICAN,False,total,193489.0,486193.0,False,20210114,REPUBLICAN
1976,MARYLAND,MD,24,52.0,52,US SENATE,statewide,gen,False,BRUCE BRADLEY,INDEPENDENT,False,total,62750.0,1365290.0,False,20210114,OTHER
1976,MARYLAND,MD,24,52.0,52,US SENATE,statewide,gen,False,"J. GLENN BEALL, JR.",REPUBLICAN,False,total,530439.0,1365290.0,False,20210114,REPUBLICAN
1976,MARYLAND,MD,24,52.0,52,US SENATE,statewide,gen,False,PAUL S. SARBANES,DEMOCRAT,False,total,772101.0,1365290.0,False,20210114,DEMOCRAT
1976,MASSACHUSETTS,MA,25,14.0,3,US SENATE,statewide,gen,False,CAROL HENDERSON EVANS,SOCIALIST WORKERS,False,total,26283.0,2491255.0,False,20210114,OTHER
1976,MASSACHUSETTS,MA,25,14.0,3,US SENATE,statewide,gen,False,EDWARD M. KENNEDY,DEMOCRAT,False,total,1726657.0,2491255.0,False,20210114,DEMOCRAT
1976,MASSACHUSETTS,MA,25,14.0,3,US SENATE,statewide,gen,False,H. GRAHAM LOWRY,U.S. LABOR,False,total,15517.0,2491255.0,False,20210114,OTHER
1976,MASSACHUSETTS,MA,25,14.0,3,US SENATE,statewide,gen,False,MICHAEL S. ROBERTSON,REPUBLICAN,False,total,722641.0,2491255.0,False,20210114,REPUBLICAN
1976,MASSACHUSETTS,MA,25,14.0,3,US SENATE,statewide,gen,False,SCATTER,,False,total,157.0,2491255.0,False,20210114,OTHER
1976,MICHIGAN,MI,26,34.0,23,US SENATE,statewide,gen,False,BETTE JANE ERWIN,LIBERTARIAN,False,total,8842.0,3490412.0,False,20210114,LIBERTARIAN
1976,MICHIGAN,MI,26,34.0,23,US SENATE,statewide,gen,False,"DONALD W. RIEGLE, JR.",DEMOCRAT,False,total,1831031.0,3490412.0,False,20210114,DEMOCRAT
