date,label,kind,scope,scope_value,note,source_url
2025-01-03,119th Congress convenes,session,congress,,Terms began at noon (20th Amendment),https://constitution.congress.gov/constitution/amendment-20/
2027-01-03,119th Congress ends; House and Class 2 Senate terms expire at noon,session,congress,,20th Amendment,https://constitution.congress.gov/constitution/amendment-20/
2026-11-03,General election day,election,congress,,Tuesday after the first Monday in November (2 U.S.C. 7),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title2-section7
2026-06-01,Wisconsin nomination papers due by 5 p.m.,deadline,state,WI,Wis. Stat. 8.15(1); confirm on the WEC 2026 calendar,https://docs.legis.wisconsin.gov/statutes/statutes/8/15
2026-08-11,Wisconsin partisan primary,election,state,WI,Second Tuesday in August (Wis. Stat. 5.02(12s)),https://docs.legis.wisconsin.gov/statutes/statutes/5/02
2026-03-03,Arkansas preferential primary,election,state,AR,Confirm against the Arkansas Secretary of State 2026 election calendar before relying on it,https://www.sos.arkansas.gov/elections/upcoming-elections
2026-05-28,Vermont primary petitions and consent forms due by 5 p.m.,deadline,state,VT,Fourth Thursday after the first Monday in May (17 V.S.A. 2356),https://legislature.vermont.gov/statutes/section/17/049/02356
2026-08-11,Vermont primary election,election,state,VT,Second Tuesday in August (17 V.S.A. 2351),https://legislature.vermont.gov/statutes/section/17/049/02351
2026-08-04,Michigan August primary,election,state,MI,Tuesday after the first Monday in August (MCL 168.534),https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-168-534
2026-03-06,California declaration of candidacy and nomination papers due by 5 p.m.,deadline,state,CA,E-88 for voter-nominated offices; confirm on the Secretary of State 2026 calendar,https://www.sos.ca.gov/elections/upcoming-elections/primary-election-june-2-2026/key-dates-and-deadlines
2026-06-02,California statewide direct primary,election,state,CA,First Tuesday after the first Monday in June (Elec. Code 1000),https://www.sos.ca.gov/elections/upcoming-elections/primary-election-june-2-2026/key-dates-and-deadlines
2026-06-23,New York federal and state primary,election,state,NY,Fourth Tuesday in June (Election Law 8-100); confirm on the State Board of Elections 2026 political calendar,https://elections.ny.gov/system/files/documents/2025/12/2026-political-calendar-quad-fold-12.9.2025-final.pdf
